"","iso_o","iso_d","dist"
"302","Arkansas","KOR",16442.7832458782
"303","Arkansas","Louisiana",462.621100272783
"304","Arkansas","LTU",30207.1831428786
"305","Arkansas","Maine",2199.26398649616
"306","Arkansas","Maryland",1468.96086365144
"307","Arkansas","Massachusetts",2001.47423141954
"308","Arkansas","MEX",3044.7086074299
"309","Arkansas","Michigan",1122.90065294694
"310","Arkansas","Minnesota",1114.77023183445
"311","Arkansas","Mississippi",368.021321326602
"312","Arkansas","Missouri",360.235101584257
"313","Arkansas","Montana",2008.1203366073
"314","Arkansas","Nebraska",776.33901747175
"315","Arkansas","Nevada",2105.49491721613
"316","Arkansas","NewHampshire",2022.81514185934
"317","Arkansas","NewJersey",1700.34982462539
"318","Arkansas","NewMexico",1248.96195378012
"319","Arkansas","NewYork",1723.73445368009
"320","Arkansas","NLD",35658.5450602196
"321","Arkansas","NorthCarolina",1158.52506311146
"322","Arkansas","NorthDakota",1469.63292640825
"323","Arkansas","Ohio",1033.4460880247
"324","Arkansas","Oklahoma",332.769176708849
"325","Arkansas","Oregon",2738.01159472562
"326","Arkansas","Pennsylvania",1479.16757803449
"327","Arkansas","POL",53292.2819666395
"328","Arkansas","PRT",18500.3771581052
"329","Arkansas","RhodeIsland",1974.04098106825
"330","Arkansas","ROU",66554.1666026692
"331","Arkansas","RoW",34949.1127028469
"332","Arkansas","RUS",24412.8953127787
"333","Arkansas","SouthCarolina",1058.79488864707
"334","Arkansas","SouthDakota",1118.86653072263
"335","Arkansas","SVK",71165.057920098
"336","Arkansas","SVN",45068.7698318747
"337","Arkansas","SWE",33162.343321316
"338","Arkansas","Tennessee",446.53864044677
"339","Arkansas","Texas",604.55370167893
"340","Arkansas","TUR",20773.7331676717
"341","Arkansas","TWN",22478.729878159
"342","Arkansas","Utah",1790.56951244394
"343","Arkansas","Vermont",1963.58184521679
"344","Arkansas","Virginia",1343.08080308196
"345","Arkansas","Washington",2736.57781714119
"346","Arkansas","WestVirginia",1121.4793002365
"347","Arkansas","Wisconsin",1006.74971258966
"348","Arkansas","Wyoming",1484.62878994667
"349","AUS","Alabama",22009.4986475489
"350","AUS","Alaska",17516.6708314427
"351","AUS","Arizona",18793.4882862559
"352","AUS","Arkansas",21345.5207022837
"353","AUS","AUS",1397.13802122542
"354","AUS","AUT",94624.6125650563
"355","AUS","BEL",58214.0434954669
"356","AUS","BGR",84324.0108605005
"357","AUS","BRA",41903.6884159904
"358","AUS","California",18109.2140908146
"359","AUS","CAN",36927.1312570294
"360","AUS","CHN",35890.2809711499
"361","AUS","Colorado",20017.2503454155
"362","AUS","Connecticut",23923.7217505241
"363","AUS","CYP",52801.7840506555
"364","AUS","CZE",147109.254526027
"365","AUS","Delaware",23606.4926294812
"366","AUS","DEU",115896.206411987
"367","AUS","DNK",83762.4559363719
"368","AUS","ESP",70796.0590250492
"369","AUS","EST",57320.0354638796
"370","AUS","FIN",80172.947528643
"371","AUS","Florida",22416.3283619002
"372","AUS","FRA",65060.6873293622
"373","AUS","GBR",55154.5138665868
"374","AUS","Georgia",22400.2385296271
"375","AUS","GRC",58445.1364102029
"376","AUS","Hawaii",12345.1204968195
"377","AUS","HUN",110612.887662097
"378","AUS","Idaho",19119.8499692925
"379","AUS","IDN",42029.7168952428
"380","AUS","Illinois",22081.4123486914
"381","AUS","IND",75885.6364781022
"382","AUS","Indiana",22306.7512941227
"383","AUS","Iowa",21540.3567613474
"384","AUS","IRL",90447.2190175857
"385","AUS","ITA",54618.0913267159
"386","AUS","JPN",15782.151857568
"387","AUS","Kansas",21003.1118924647
"388","AUS","Kentucky",22376.5044788517
"389","AUS","KOR",17409.3925080655
"390","AUS","Louisiana",21279.4062186331
"391","AUS","LTU",77324.2024331042
"392","AUS","Maine",24210.4819644649
"393","AUS","Maryland",23450.9843131153
"394","AUS","Massachusetts",24083.9363221542
"395","AUS","MEX",34016.9425036489
"396","AUS","Michigan",22584.4174749973
"397","AUS","Minnesota",21544.8863167882
"398","AUS","Mississippi",21621.4644075634
"399","AUS","Missouri",21530.8808576276
"400","AUS","Montana",19664.7283371386
"401","AUS","Nebraska",21001.6011802623
"402","AUS","Nevada",18592.7088619938
"403","AUS","NewHampshire",24051.1196206496
"404","AUS","NewJersey",23742.2969045294
"405","AUS","NewMexico",19594.1640666317
"406","AUS","NewYork",23717.2059681045
"407","AUS","NLD",111694.317954312
"408","AUS","NorthCarolina",23024.4811430826
"409","AUS","NorthDakota",20948.0084971927
"410","AUS","Ohio",22733.9332117258
"411","AUS","Oklahoma",20840.9956714016
"412","AUS","Oregon",18369.8058016273
"413","AUS","Pennsylvania",23429.2536159834
"414","AUS","POL",141434.327666542
"415","AUS","PRT",65603.3089197823
"416","AUS","RhodeIsland",24074.3711762651
"417","AUS","ROU",154982.590008637
"418","AUS","RoW",62215.2368612372
"419","AUS","RUS",50216.2088057806
"420","AUS","SouthCarolina",22800.2113970862
"421","AUS","SouthDakota",20911.1660544988
"422","AUS","SVK",184582.352605598
"423","AUS","SVN",120175.940945463
"424","AUS","SWE",95399.6402414466
"425","AUS","Tennessee",22172.513257787
"426","AUS","Texas",20521.6032002884
"427","AUS","TUR",42615.8368136047
"428","AUS","TWN",18214.6829545998
"429","AUS","Utah",19261.7631919722
"430","AUS","Vermont",23889.1263319385
"431","AUS","Virginia",23305.9743503268
"432","AUS","Washington",18644.8384897668
"433","AUS","WestVirginia",22961.7325235472
"434","AUS","Wisconsin",22055.6892929941
"435","AUS","Wyoming",19944.7060895164
"436","AUT","Alabama",34785.4385653882
"437","AUT","Alaska",32850.1102762893
"438","AUT","Arizona",40783.57280993
"439","AUT","Arkansas",35579.5080053815
"440","AUT","AUS",94624.6125650563
"441","AUT","AUT",11463.7142774046
"442","AUT","BEL",9501.65960551239
"443","AUT","BGR",14505.3220407318
"444","AUT","BRA",83475.6858052364
"445","AUT","California",41207.3815112019
"446","AUT","CAN",50018.011792373
"447","AUT","CHN",104670.030501529
"448","AUT","Colorado",36861.6937275251
"449","AUT","Connecticut",28277.87062412
"450","AUT","CYP",22582.6934788972
"451","AUT","CZE",5676.51018997927
"452","AUT","Delaware",29687.9285840544
"453","AUT","DEU",12335.075913523
"454","AUT","DNK",14162.9416850313
"455","AUT","ESP",20012.318370331
"456","AUT","EST",15538.1594280191
"457","AUT","FIN",23437.4230651419
"458","AUT","Florida",35164.17333782
"459","AUT","FRA",11746.8300715725
"460","AUT","GBR",13267.947626352
"461","AUT","Georgia",33892.3099613662
"462","AUT","GRC",13944.9179624223
"463","AUT","Hawaii",52087.3868586373
"464","AUT","HUN",4976.04104339994
"465","AUT","Idaho",36958.1702032797
"466","AUT","IDN",267499.674733242
"467","AUT","Illinois",32355.8278232653
"468","AUT","IND",148934.821222777
"469","AUT","Indiana",32233.1391794838
"470","AUT","Iowa",33257.4000221237
"471","AUT","IRL",26722.6540794584
"472","AUT","ITA",6677.85991503553
"473","AUT","JPN",53792.5844286159
"474","AUT","Kansas",35321.4003339742
"475","AUT","Kentucky",32747.3741893564
"476","AUT","KOR",53036.6926787111
"477","AUT","Louisiana",36864.14112916
"478","AUT","LTU",14443.6009272613
"479","AUT","Maine",26587.696316941
"480","AUT","Maryland",30078.9250716095
"481","AUT","Massachusetts",27647.8174168608
"482","AUT","MEX",74351.9852479961
"483","AUT","Michigan",30827.0682687796
"484","AUT","Minnesota",32258.8265958785
"485","AUT","Mississippi",35689.7239220335
"486","AUT","Missouri",34298.9516571611
"487","AUT","Montana",35220.321955413
"488","AUT","Nebraska",34540.6413291415
"489","AUT","Nevada",39918.9656685271
"490","AUT","NewHampshire",27416.8911330287
"491","AUT","NewJersey",29036.2519786673
"492","AUT","NewMexico",39016.9565090084
"493","AUT","NewYork",28740.8283042962
"494","AUT","NLD",18866.0228458453
"495","AUT","NorthCarolina",31999.1267676585
"496","AUT","NorthDakota",32748.7862115928
"497","AUT","Ohio",31221.0892055736
"498","AUT","Oklahoma",36438.6066933513
"499","AUT","Oregon",37929.8405097874
"500","AUT","Pennsylvania",29711.528642212
"501","AUT","POL",13150.0589353974
"502","AUT","PRT",24380.3827949049
"503","AUT","RhodeIsland",27847.4660407636
"504","AUT","ROU",23048.9772505328
"505","AUT","RoW",70366.9737184371
"506","AUT","RUS",23848.4962903426
"507","AUT","SouthCarolina",32881.769557707
"508","AUT","SouthDakota",33843.6849816768
"509","AUT","SVK",3064.30528902737
"510","AUT","SVN",4654.57003670947
"511","AUT","SWE",20991.3594982279
"512","AUT","Tennessee",33704.991548979
"513","AUT","Texas",38268.8772977481
"514","AUT","TUR",13281.4816249729
"515","AUT","TWN",68829.1697200566
"516","AUT","Utah",37903.4259802607
"517","AUT","Vermont",27497.5966544275
"518","AUT","Virginia",30769.3410216766
"519","AUT","Washington",36676.695377371
"520","AUT","WestVirginia",31235.3891750098
"521","AUT","Wisconsin",31682.9979569652
"522","AUT","Wyoming",36002.6977134527
"523","BEL","Alabama",18138.1839170145
"524","BEL","Alaska",18084.5499198806
"525","BEL","Arizona",21836.9262247758
"526","BEL","Arkansas",18639.4589820466
"527","BEL","AUS",58214.0434954669
"528","BEL","AUT",9501.65960551239
"529","BEL","BEL",502.149044496547
"530","BEL","BGR",17163.5904427135
"531","BEL","BRA",46391.2032300069
"532","BEL","California",22197.8925809916
"533","BEL","CAN",25695.442951902
"534","BEL","CHN",65499.7950455385
"535","BEL","Colorado",19522.2054680619
"536","BEL","Connecticut",14321.0436439685
"537","BEL","CYP",19002.8636592862
"538","BEL","CZE",12040.9032742701
"539","BEL","Delaware",15145.0949766297
"540","BEL","DEU",4126.5627699579
"541","BEL","DNK",6837.00054941569
"542","BEL","ESP",9042.20723397979
"543","BEL","EST",10645.2801312796
"544","BEL","FIN",15279.3416693351
"545","BEL","Florida",18342.7781174264
"546","BEL","FRA",2065.89294323416
"547","BEL","GBR",2517.43786480069
"548","BEL","Georgia",17608.5651916411
"549","BEL","GRC",13758.4670084966
"550","BEL","Hawaii",29314.1026449966
"551","BEL","HUN",14188.5727730634
"552","BEL","Idaho",19747.2058306366
"553","BEL","IDN",169001.848366684
"554","BEL","Illinois",16768.8733450065
"555","BEL","IND",99308.9106415629
"556","BEL","Indiana",16677.9867842824
"557","BEL","Iowa",17332.6837936998
"558","BEL","IRL",7309.32000189401
"559","BEL","ITA",5456.60953143884
"560","BEL","JPN",32613.3730437806
"561","BEL","Kansas",18536.2717603363
"562","BEL","Kentucky",16960.1838535743
"563","BEL","KOR",32558.6287055084
"564","BEL","Louisiana",19364.1677530945
"565","BEL","LTU",12695.7856585354
"566","BEL","Maine",13335.9893850587
"567","BEL","Maryland",15376.3614902585
"568","BEL","Massachusetts",13951.7410647483
"569","BEL","MEX",39675.5780035351
"570","BEL","Michigan",15864.3644859488
"571","BEL","Minnesota",16784.765967812
"572","BEL","Mississippi",18676.376285774
"573","BEL","Missouri",17908.6999959865
"574","BEL","Montana",18713.1127245635
"575","BEL","Nebraska",18109.7635152059
"576","BEL","Nevada",21419.0578041536
"577","BEL","NewHampshire",13820.6597020187
"578","BEL","NewJersey",14764.7561364812
"579","BEL","NewMexico",20752.7481423052
"580","BEL","NewYork",14597.1555362116
"581","BEL","NLD",1547.03313597112
"582","BEL","NorthCarolina",16495.9775249942
"583","BEL","NorthDakota",17145.7648239226
"584","BEL","Ohio",16070.9946842502
"585","BEL","Oklahoma",19171.2320776356
"586","BEL","Oregon",20426.2201548806
"587","BEL","Pennsylvania",15166.8220325174
"588","BEL","POL",16138.1042728541
"589","BEL","PRT",10495.7230112894
"590","BEL","RhodeIsland",14067.1273310283
